"Departement";"Code";"Dienstabteilung";"Konto";"Bezeichnung";"Rechnung 2011 Fr.";"Budget 2012 Fr.";"Budget 2013 Fr.";"Abweichung zum Vorjahr Fr.";"Bezeichnung (sofern gemäss Art. 4 FVO erforderlich)"
"Behörden und Gesamtverwaltung";1000;" Gemeinde";"4360 0000";"Rückerstattungen Dritter";"-102’208.15";"-20’000";"-20’000";;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";;"Aufwand";"4’915’239.65";"5’081’000";"5’324’300";"-243’300";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";;"Ertrag";"-165’008.55";"-141’200";"-150’800";"+9’600";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"4’750’231.10";"4’939’800";"+5’173’500";"-233’700";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3001 0000";"Vergütungen an Behörden und Kommissionen";"2’258’087.65";"2’480’000";"2’580’000";"-100’000";"Brückenschlag Uri-Zürich und Kommissionsreisen."
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3010 0000";"Löhne des Verwaltungs- und Betriebspersonals";"964’645.50";"994’700";"950’600";"+44’100";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3030 0000";"Sozialversicherungsbeiträge";"126’140.40";"128’100";"127’900";200;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3040 0000";"Personalversicherungsbeiträge";"91’767.90";"118’000";"106’400";"+11’600";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3050 0000";"Unfall- und Krankenversicherungsbeiträge";"19’116.45";"19’900";"19’800";100;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3062 0000";"Verpflegungszulagen";"4’400.00";"9’200";"9’200";;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3091 0000";"Aus- und Weiterbildung des Personals";"11’720.00";"5’000";"15’000";"-10’000";"Durch das Ratspräsidium bewilligte Weiterbildung."
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3092 0000";"Personalwerbung";486.2;"5’000";"5’000";;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3096 0000";"Verbilligungen für das Personal";;"1’200";"1’100";100;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3099 0000";"Übriger Personalaufwand";"1’080.70";300;300;;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3100 0000";"Büromaterial";"1’088.95";"5’000";"3’000";"+2’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3101 0000";"Druck-, Reproduktions- und Vervielfältigungskosten";"12’541.05";"26’500";"23’000";"+3’500";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3102 0000";"Fachliteratur und Zeitschriften";600.6;"1’500";"1’000";500;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3106 0000";"Amtliche Publikationen";"129’409.20";"140’000";"150’000";"-10’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3112 0000";"Anschaffungen IT-Anlagen Hardware";663.3;200;"1’000";-800;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3113 0000";"Anschaffungen IT-Anlagen Software";;"2’000";"1’000";"+1’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3119 0000";"Anschaffungen übrige Mobilien";;400;400;;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3130 0000";"Betriebs-, Verbrauchs- und Produktionsmaterialien";"5’159.25";"5’200";"3’000";"+2’200";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3132 0000";"IT-Verbrauchsmaterialien";"1’288.00";"2’500";"2’500";;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3153 0000";"Unterhalt IT-Anlagen Software";"444’580.00";"291’600";"470’500";"-178’900";"Realisierung der IT-Projekte GR im Jahr 2013 statt 2012."
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3160 0000";"Miete und Pacht von Liegenschaften";210;"3’000";"1’000";"+2’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3161 0000";"Mieten und Benutzungskosten";;"1’500";"6’000";"-4’500";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3170 0000";"Reise- und Spesenentschädigungen des Personals";"25’686.80";"32’200";"28’000";"+4’200";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3180 0000";"Entschädigungen für Dienstleistungen Dritter";"44’651.60";"70’000";"90’000";"-20’000";"Stärkere Einbindung RK GR in Kommission- und Ratsarbeit."
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3181 0000";"Post- und Telekommunikationsgebühren";"20’639.20";"27’000";"25’000";"+2’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3189 0000";"Entschädigungen für IT-Leistungen Dritter";;"1’500";;"+1’500";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3194 0101";"Gemeinderats-Präsidentenempfang im Quartier";"20’000.00";"20’000";"20’000";;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3197 0000";"Mitgliederbeiträge";250;400;300;100;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3199 0000";"Übriger Sachaufwand";"1’292.20";700;700;;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3650 0101";"Fraktionsentschädigungen";"245’700.00";"245’700";"245’700";;
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3900 0000";"Vergütung an HRZ für Aus- und Weiterbildung";"1’200.00";"5’000";"3’000";"+2’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3910 0000";"Vergütung an OIZ für IT-Leistungen";"65’109.00";"61’200";"52’400";"+8’800";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3911 0000";"Vergütung an SBMV für Material/Dienstleistungen";"25’858.35";"17’000";"20’000";"-3’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3913 0000";"Vergütung an IMMO für Raumkosten";"257’460.00";"257’500";"262’500";"-5’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"3980 0231";"Vergütung an Finanzkontrolle für Revisionen";"134’407.35";"102’000";"99’000";"+3’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"4340 0100";"Entschädigungen für Revisionen";"-134’407.35";"-102’000";"-99’000";"-3’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"4360 0000";"Rückerstattungen Dritter";"-17’408.00";"-28’400";"-44’000";"+15’600";"Rückzahlung Kommissionsreisen, siehe Konto 3001 0000."
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"4366 0000";"Versicherungs- und Haftpflichtleistungen für das Personal";"-13’116.70";"-10’800";"-7’800";"-3’000";
"Behörden und Gesamtverwaltung";1005;"Gemeinderat";"4367 0000";"Rückerstattungen von Personalaufwendungen";-76.5;;;;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";;"Aufwand";"3’730’960.20";"4’145’500";"4’200’700";"-55’200";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";;"Ertrag";"-1’329’094.35";"-1’308’100";"-1’318’100";"+10’000";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"2’401’865.85";"2’837’400";"+2’882’600";"-45’200";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3000 0000";"Löhne der Behörden";"238’195.90";"257’500";"239’500";"+18’000";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3001 0000";"Vergütungen an Behörden und Kommissionen";"4’800.00";"4’800";"4’800";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3010 0000";"Löhne des Verwaltungs- und Betriebspersonals";"2’395’356.20";"2’663’600";"2’702’500";"-38’900";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3030 0000";"Sozialversicherungsbeiträge";"192’682.00";"215’100";"216’200";"-1’100";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3040 0000";"Personalversicherungsbeiträge";"306’344.30";"373’600";"390’300";"-16’700";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3050 0000";"Unfall- und Krankenversicherungsbeiträge";"4’938.10";"5’500";"5’500";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3062 0000";"Verpflegungszulagen";"9’000.00";"22’800";"22’800";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3091 0000";"Aus- und Weiterbildung des Personals";"23’054.60";"40’000";"42’000";"-2’000";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3092 0000";"Personalwerbung";"2’862.00";"8’000";"5’000";"+3’000";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3096 0000";"Verbilligungen für das Personal";;"2’000";"2’000";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3099 0000";"Übriger Personalaufwand";"4’538.30";"6’000";"7’000";"-1’000";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3100 0000";"Büromaterial";417;"1’200";"1’200";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3101 0000";"Druck-, Reproduktions- und Vervielfältigungskosten";;"4’000";"4’000";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3102 0000";"Fachliteratur und Zeitschriften";"4’321.76";"5’000";"5’000";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3112 0000";"Anschaffungen IT-Anlagen Hardware";553.55;500;500;;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3113 0000";"Anschaffungen IT-Anlagen Software";;"3’500";"3’500";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3132 0000";"IT-Verbrauchsmaterialien";;100;100;;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3150 0000";"Unterhalt Büromaschinen und -geräte";;200;200;;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3152 0000";"Unterhalt IT-Anlagen Hardware";;"1’000";500;500;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3153 0000";"Unterhalt IT-Anlagen Software";"32’372.49";"32’000";"33’000";"-1’000";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3160 0000";"Miete und Pacht von Liegenschaften";;500;500;;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3161 0000";"Mieten und Benutzungskosten";;"9’000";"9’000";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3170 0000";"Reise- und Spesenentschädigungen des Personals";"14’207.80";"17’000";"17’000";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3180 0000";"Entschädigungen für Dienstleistungen Dritter";"4’408.50";"20’000";"20’000";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3181 0000";"Post- und Telekommunikationsgebühren";"1’472.00";"2’000";"1’500";500;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3186 0000";"Entschädigungen für Dienstleistungen Dritter im Zusammenhang mit Projektbegleitung, -beratung und Organisationsentwicklung";"6’640.40";"10’000";"10’000";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3187 0000";"Steuern und Abgaben";945;"2’000";"2’000";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3189 0000";"Entschädigungen für IT-Leistungen Dritter";"16’826.40";;"5’000";"-5’000";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3197 0000";"Mitgliederbeiträge";"5’175.15";"6’000";"6’000";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3199 0000";"Übriger Sachaufwand";117.9;500;500;;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3900 0000";"Vergütung an HRZ für Aus- und Weiterbildung";"2’675.00";"5’000";"4’000";"+1’000";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3910 0000";"Vergütung an OIZ für IT-Leistungen";"79’115.00";"62’500";"75’000";"-12’500";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3911 0000";"Vergütung an SBMV für Material/Dienstleistungen";"22’341.85";"7’000";"7’000";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3913 0000";"Vergütung an IMMO für Raumkosten";"192’636.00";"192’600";"192’600";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3914 0000";"Vergütung an IMMO für Verwaltungsparkplätze";"1’920.00";"1’900";"1’900";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"3983 0000";"Vergütung an Finanzverwaltung für Annuitätenverpflichtung gegenüber der Pensionskasse (Ablösung Leistungsprimat 1995)";"163’043.00";"163’100";"163’100";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"4273 0000";"Vergütung für Benutzung von Verwaltungsparkplätzen";"-1’920.00";"-1’900";"-1’900";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"4360 0000";"Rückerstattungen Dritter";-168.45;-500;-500;;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"4366 0000";"Versicherungs- und Haftpflichtleistungen für das Personal";"-18’224.40";"-17’500";"-27’100";"+9’600";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"4367 0000";"Rückerstattungen von Personalaufwendungen";-948;"-1’600";"-1’600";;
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"4980 0231";"Vergütung des Gemeinderates für Revisionen";"-134’407.35";"-102’000";"-99’000";"-3’000";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"4980 0232";"Vergütung des Stadtrates für Revisionen";"-94’926.15";"-94’600";"-92’500";"-2’100";
"Behörden und Gesamtverwaltung";1007;"Finanzkontrolle";"4982 0000";"Vergütung für Verwaltungskosten";"-1’078’500.00";"-1’090’000";"-1’095’500";"+5’500";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";;"Aufwand";"1’109’133.78";"1’195’800";"1’223’200";"-27’400";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";;"Ertrag";"-25’391.15";"-3’000";"-3’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"1’083’742.63";"1’192’800";"+1’220’200";"-27’400";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3000 0000";"Löhne der Behörden";"228’595.90";"228’800";"229’900";"-1’100";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3001 0000";"Vergütungen an Behörden und Kommissionen";"18’018.30";"18’000";"18’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3010 0000";"Löhne des Verwaltungs- und Betriebspersonals";"397’796.75";"454’300";"469’800";"-15’500";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3012 0000";"Löhne des Personals in Ausbildung";"72’605.50";"64’800";"66’100";"-1’300";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3030 0000";"Sozialversicherungsbeiträge";"51’219.60";"55’000";"56’300";"-1’300";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3040 0000";"Personalversicherungsbeiträge";"76’355.00";"98’400";"99’700";"-1’300";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3050 0000";"Unfall- und Krankenversicherungsbeiträge";"1’203.65";"1’300";"1’300";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3062 0000";"Verpflegungszulagen";"2’000.00";"6’000";"6’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3091 0000";"Aus- und Weiterbildung des Personals";"1’199.40";"3’000";"3’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3096 0000";"Verbilligungen für das Personal";;400;400;;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3099 0000";"Übriger Personalaufwand";445.3;"1’100";"1’100";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3100 0000";"Büromaterial";354.5;600;600;;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3101 0000";"Druck-, Reproduktions- und Vervielfältigungskosten";"16’784.35";"9’500";"11’000";"-1’500";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3102 0000";"Fachliteratur und Zeitschriften";"8’115.53";"8’000";"8’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3106 0000";"Amtliche Publikationen";"8’211.45";"8’000";"8’500";-500;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3107 0000";"Temporäre Aktionen in Öffentlichkeitsarbeit";;"5’000";"8’000";"-3’000";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3111 0000";"Anschaffungen Maschinen, Geräte, Fahrzeuge";549;"1’000";"1’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3120 0000";"Wasser, Energie und Heizmaterialien";"1’354.95";"1’500";"1’500";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3130 0000";"Betriebs-, Verbrauchs- und Produktionsmaterialien";141.65;300;300;;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3132 0000";"IT-Verbrauchsmaterialien";;500;500;;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3150 0000";"Unterhalt Büromaschinen und -geräte";;500;500;;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3152 0000";"Unterhalt IT-Anlagen Hardware";;200;200;;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3160 0000";"Miete und Pacht von Liegenschaften";920;;"1’000";"-1’000";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3161 0000";"Mieten und Benutzungskosten";;"2’500";"2’500";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3170 0000";"Reise- und Spesenentschädigungen des Personals";;"1’000";"1’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3180 0000";"Entschädigungen für Dienstleistungen Dritter";"18’249.45";"18’000";"18’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3181 0000";"Post- und Telekommunikationsgebühren";"2’739.05";"3’000";"3’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3183 0000";"Bankspesen";20.25;;;;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3184 0000";"Sachversicherungsprämien";;100;;100;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3187 0000";"Steuern und Abgaben";;500;500;;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3197 0000";"Mitgliederbeiträge";"1’531.00";"2’000";"2’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3900 0000";"Vergütung an HRZ für Aus- und Weiterbildung";"1’000.00";;"1’000";"-1’000";
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3910 0000";"Vergütung an OIZ für IT-Leistungen";"21’418.00";"27’200";"27’200";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3911 0000";"Vergütung an SBMV für Material/Dienstleistungen";"6’518.20";"3’500";"3’500";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3913 0000";"Vergütung an IMMO für Raumkosten";"120’264.00";"120’300";"120’300";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3982 0000";"Vergütung für Verwaltungskosten";"4’500.00";"4’500";"4’500";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"3983 0000";"Vergütung an Finanzverwaltung für Annuitätenverpflichtung gegenüber der Pensionskasse (Ablösung Leistungsprimat 1995)";"47’023.00";"47’000";"47’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"4360 0000";"Rückerstattungen Dritter";"-13’283.85";"-3’000";"-3’000";;
"Behörden und Gesamtverwaltung";1010;"Beauftragte/r in Beschwerdesachen";"4366 0000";"Versicherungs- und Haftpflichtleistungen für das Personal";"-12’107.30";;;;
"Behörden und Gesamtverwaltung";1015;"Stadtrat";;"Aufwand";"4’917’174.55";"5’245’200";"5’172’300";"+72’900";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";;"Ertrag";"-104’913.40";"-103’600";"-101’500";"-2’100";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"4’812’261.15";"5’141’600";"+5’070’800";"+70’800";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3000 0000";"Löhne der Behörden";"2’211’632.65";"2’273’000";"2’211’800";"+61’200";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3001 0000";"Vergütungen an Behörden und Kommissionen";"134’400.00";"134’400";"134’400";;
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3030 0000";"Sozialversicherungsbeiträge";"158’039.10";"163’300";"159’100";"+4’200";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3040 0000";"Personalversicherungsbeiträge";"277’455.45";"348’900";"351’400";"-2’500";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3050 0000";"Unfall- und Krankenversicherungsbeiträge";"2’619.00";"2’600";"2’600";;
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3107 0000";"Temporäre Aktionen in Öffentlichkeitsarbeit";"3’479.30";"12’500";"10’500";"+2’000";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3111 0000";"Anschaffungen Maschinen, Geräte, Fahrzeuge";;"30’000";"15’000";"+15’000";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3112 0000";"Anschaffungen IT-Anlagen Hardware";;"35’000";"30’000";"+5’000";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3180 0000";"Entschädigungen für Dienstleistungen Dritter";"16’980.05";"17’700";"19’000";"-1’300";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3194 0000";"Freier Kredit";"534’419.65";"635’000";"635’000";;
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3199 0000";"Übriger Sachaufwand";;"5’000";"5’000";;
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3913 0000";"Vergütung an IMMO für Raumkosten";"1’154’988.00";"1’155’000";"1’167’800";"-12’800";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3980 0232";"Vergütung an Finanzkontrolle für Revisionen";"94’926.15";"94’600";"92’500";"+2’100";
"Behörden und Gesamtverwaltung";1015;"Stadtrat";"3980 0681";"Vergütung an IMMO für Dienstleistungen des Regiebetriebes";"14’026.20";"24’000";"24’000";;
